Date,Calories,Protein (g),Fat (g),Carbs (g)
2022-07-25,1611,182,40,120
2022-07-26,1562,163,50,111
2022-07-27,2085,159,75,185
2022-07-28,1972,187,74,131
2022-07-29,2062,171,67,190
2022-07-30,1912,147,73,161
2022-07-31,1923,171,67,155
2022-08-01,1668,185,45,122
2022-08-02,1613,177,41,124
2022-08-03,1939,160,58,187
2022-08-04,1730,187,46,133
2022-08-05,2112,193,47,220
2022-08-06,2289,150,72,254
2022-08-07,2090,175,68,190
2022-08-08,1743,171,66,115
2022-08-09,1736,170,65,115
2022-08-10,2014,168,68,181
2022-08-11,1678,166,57,117
2022-08-12,2196,191,56,220
2022-08-13,1950,198,54,158
2022-08-14,1779,215,54,96
2022-08-15,1843,207,48,135
2022-08-16,1841,207,48,134
2022-08-17,2137,202,69,157
2022-08-18,,,,
2022-08-19,2261,200,64,212
2022-08-20,2326,202,58,236
2022-08-21,1768,201,43,132
2022-08-22,1749,199,42,131
2022-08-23,1787,201,46,131
2022-08-24,2073,201,58,168
2022-08-25,1619,202,36,112
2022-08-26,2131,203,52,198
2022-08-27,2076,183,53,206
2022-08-28,1908,216,43,153
2022-08-29,1773,214,43,121
2022-08-30,1752,213,41,120
2022-08-31,1919,207,48,151
2022-09-01,1636,202,38,112
2022-09-02,2212,202,53,220
2022-09-03,2227,201,53,224
2022-09-04,1981,189,58,169
2022-09-05,1663,207,39,111
2022-09-06,1685,211,39,113
2022-09-07,1962,180,66,157
2022-09-08,1706,210,39,117
2022-09-09,2286,209,55,227
2022-09-10,2277,212,55,220
2022-09-11,2132,206,64,170
2022-09-12,1692,213,39,112
2022-09-13,1704,215,39,113
2022-09-14,1680,210,39,113
2022-09-15,1986,208,51,161
2022-09-16,2281,210,56,223
2022-09-17,2075,209,56,172
2022-09-18,1973,196,61,170
2022-09-19,1779,215,44,118
2022-09-20,1829,218,50,116
2022-09-21,2210,205,70,170
2022-09-22,1690,178,58,106
2022-09-23,2118,218,56,171
2022-09-24,2118,218,56,171
2022-09-25,1974,227,39,166
2022-09-26,1746,224,39,113
2022-09-27,1681,217,38,105
2022-09-28,1888,209,46,147
2022-09-29,1744,220,41,113
2022-09-30,2082,211,56,171
2022-10-01,2062,207,55,171
2022-10-02,1903,219,41,154
2022-10-03,1760,218,44,113
2022-10-04,1719,213,42,112
2022-10-05,1996,201,64,142
2022-10-06,1702,221,42,105
2022-10-07,2067,213,56,171
2022-10-08,2062,212,56,171
2022-10-09,1969,185,60,167
2022-10-10,1696,220,39,113
2022-10-11,1683,217,39,112
2022-10-12,1914,209,49,154
2022-10-13,1734,219,43,113
2022-10-14,2052,210,56,171
2022-10-15,1979,205,53,164
2022-10-16,1852,215,38,158
2022-10-17,1653,210,38,112
2022-10-18,1612,205,36,112
2022-10-19,1874,203,47,154
2022-10-20,1699,215,41,112
2022-10-21,2043,208,56,171
2022-10-22,2043,208,56,171
2022-10-23,2005,170,65,179
2022-10-24,1726,220,42,113
2022-10-25,1720,220,42,113
2022-10-26,1978,211,52,162
2022-10-27,1726,220,42,113
2022-10-28,2030,174,60,192
2022-10-29,2101,207,60,177
2022-10-30,1884,217,41,158
2022-10-31,1693,214,41,112
2022-11-01,1685,214,40,112
2022-11-02,1925,157,74,151
2022-11-03,1790,184,62,120
2022-11-04,2065,212,56,171
2022-11-05,2071,213,57,171
2022-11-06,1910,222,42,158
2022-11-07,1730,221,42,113
2022-11-08,1786,184,72,94
2022-11-09,1903,206,49,154
2022-11-10,1701,216,41,112
2022-11-11,2045,208,56,171
2022-11-12,2045,208,56,171
2022-11-13,1790,175,45,168
2022-11-14,1831,213,48,132
2022-11-15,1811,213,48,125
2022-11-16,2046,203,57,172
2022-11-17,1714,212,44,113
2022-11-18,2029,205,56,171
2022-11-19,2029,205,56,171
2022-11-20,1817,214,41,158
2022-11-21,1627,211,38,105
2022-11-22,1626,180,42,128
2022-11-23,1999,177,79,137
2022-11-24,1685,212,41,112
2022-11-25,2026,204,55,171
2022-11-26,2026,204,55,171
2022-11-27,1757,204,36,148
2022-11-28,1624,179,42,128
2022-11-29,1695,215,41,112
2022-11-30,1906,207,48,154
2022-12-01,1698,215,41,112
2022-12-02,2045,208,56,171
2022-12-03,2072,214,56,171
2022-12-04,1922,224,42,158
2022-12-05,1720,221,41,113
2022-12-06,1725,221,42,113
2022-12-07,1886,192,50,161
2022-12-08,1620,199,39,112
2022-12-09,1972,193,54,171
2022-12-10,1972,193,54,171
2022-12-11,2035,200,52,186
2022-12-12,1648,201,41,114
2022-12-13,1642,200,41,114
2022-12-14,1955,190,54,171
2022-12-15,1712,214,42,114
2022-12-16,2027,204,56,171
2022-12-17,2027,204,56,171
2022-12-18,,,,
2022-12-19,1675,211,40,112
2022-12-20,1649,184,59,91
2022-12-21,1905,179,54,169
2022-12-22,1726,216,41,118
2022-12-23,2034,206,56,171
2022-12-24,,,,
2022-12-25,,,,
2022-12-26,,,,
2022-12-27,,,,
2022-12-28,,,,
2022-12-29,,,,
2022-12-30,,,,
2022-12-31,,,,
2023-01-01,,,,
2023-01-02,1588,203,39,105
