Date,Weight
2023-01-02,"74,4"
2023-01-09,"74,9"
2023-01-23,"74,6"
2023-01-30,"74,5"
2023-02-07,"74,1"
2023-02-13,74
2023-02-20,"74,5"
2023-02-28,"74,3"
2023-03-06,"73,7"
2023-03-13,"73,8"
2023-03-20,74
2023-03-27,"74,5"
2023-03-28,"73,6"
2023-03-29,"73,9"
2023-03-30,"73,8"
2023-03-31,"73,6"
2023-04-01,"74,1"
2023-04-02,"74,3"
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,"74,1"
2023-04-07,74
2023-04-08,"74,3"
2023-04-09,"73,8"
2023-04-10,
2023-04-11,
2023-04-12,"74,6"
2023-04-13,75
2023-04-14,"74,8"
2023-04-15,"74,6"
2023-04-16,"74,8"
2023-04-17,"74,5"
2023-04-18,"74,6"
2023-04-19,"74,8"
2023-04-20,"74,7"
2023-04-21,"74,6"
2023-04-22,"74,7"
2023-04-23,"74,8"
2023-04-24,"74,7"
2023-04-25,"74,5"
2023-04-26,"74,8"
2023-04-27,75
2023-04-28,"75,2"
2023-04-29,"74,8"
2023-04-30,"75,1"
2023-05-01,"74,8"
2023-05-02,"75,1"
2023-05-03,"74,9"
2023-05-04,"75,4"
2023-05-05,75
2023-05-06,"74,9"
2023-05-07,75
2023-05-08,75
2023-05-09,"75,3"
2023-05-10,75
2023-05-11,"75,2"
2023-05-12,"74,7"
2023-05-13,"74,8"
2023-05-14,"75,4"
2023-05-15,"75,1"
2023-05-16,"75,2"
2023-05-17,"75,2"
2023-05-18,"74,8"
2023-05-19,"74,5"
2023-05-20,"75,1"
2023-05-21,"74,8"
2023-05-22,"74,6"
2023-05-23,"74,6"
2023-05-24,"74,5"
2023-05-25,"75,1"
2023-05-26,"75,3"
2023-05-27,75
2023-05-28,"74,9"
2023-05-29,"74,8"
2023-05-30,"74,9"
2023-05-31,"74,9"
2023-06-01,"74,9"
2023-06-02,"75,1"
2023-06-03,"75,2"
2023-06-04,"75,5"
2023-06-05,"75,1"
2023-06-06,"74,9"
2023-06-07,"74,8"
2023-06-08,"75,2"
2023-06-09,"75,1"
2023-06-10,"75,3"
2023-06-11,"74,9"
2023-06-12,"74,8"
2023-06-13,75
2023-06-14,"75,2"
2023-06-15,"75,1"
2023-06-16,"74,9"
2023-06-17,"75,1"
2023-06-18,75
2023-06-19,"74,9"
2023-06-20,"74,6"
2023-06-21,"74,4"
2023-06-22,"74,9"
2023-06-23,"74,9"
2023-06-24,"74,6"
2023-06-25,"74,4"
2023-06-26,74
2023-06-27,"74,1"
2023-06-28,"74,5"
2023-06-29,"74,8"
2023-06-30,"74,3"
2023-07-01,"74,5"
2023-07-02,"74,5"
2023-07-03,
2023-07-04,"73,8"
2023-07-05,"74,1"
2023-07-06,"74,4"
2023-07-07,"74,6"
2023-07-08,"74,9"
2023-07-09,"74,6"
2023-07-10,"74,8"
2023-07-11,"74,5"
2023-07-12,"75,3"
2023-07-13,"75,2"
2023-07-14,"74,5"
2023-07-15,"74,4"
2023-07-16,
2023-07-17,"74,4"
2023-07-18,"74,7"
2023-07-19,"74,6"
2023-07-20,"74,5"
2023-07-21,"74,2"
2023-07-22,"74,6"
2023-07-23,"74,6"
2023-07-24,75
2023-07-25,"74,8"
2023-07-26,"74,5"
2023-07-27,"74,5"
2023-07-28,"74,6"
2023-07-29,"74,8"
2023-07-30,"74,7"
2023-07-31,"74,3"
2023-08-01,"74,3"
2023-08-02,"74,6"
2023-08-03,"74,6"
2023-08-04,"74,5"
2023-08-05,"74,8"
2023-08-06,"74,8"
2023-08-07,"74,5"
2023-08-08,"74,4"
2023-08-09,"74,5"
2023-08-10,"74,5"
2023-08-11,"74,4"
2023-08-12,"74,2"
2023-08-13,74
2023-08-14,"74,5"
2023-08-15,"74,4"
2023-08-16,"74,5"
2023-08-17,"74,5"
2023-08-18,"74,2"
2023-08-19,"74,5"
2023-08-20,"74,2"
2023-08-21,"74,7"
2023-08-22,"74,4"
2023-08-23,"74,3"
2023-08-24,"74,3"
2023-08-25,"74,1"
2023-08-26,74
2023-08-27,"74,6"
2023-08-28,"74,6"
2023-08-29,"74,4"
2023-08-30,"74,2"
2023-08-31,74
2023-09-01,"74,3"
2023-09-02,"74,4"
2023-09-03,74
2023-09-04,"74,2"
2023-09-05,"74,4"
2023-09-06,"74,5"
2023-09-07,"74,4"
2023-09-08,"74,5"
2023-09-09,"74,5"
2023-09-10,"74,6"
2023-09-11,"74,2"
2023-09-12,"73,9"
2023-09-13,"73,6"
2023-09-14,74
2023-09-15,"74,4"
2023-09-16,"74,8"
2023-09-17,"73,9"
2023-09-18,"74,3"
2023-09-19,"74,7"
2023-09-20,"74,8"
2023-09-21,"74,6"
2023-09-22,"74,4"
2023-09-23,74
2023-09-24,"74,2"
2023-09-25,"74,6"
2023-09-26,"74,7"
2023-09-27,"74,9"
2023-09-28,"74,6"
2023-09-29,"74,3"
2023-09-30,"74,2"
2023-10-01,"74,3"
2023-10-02,"74,3"
2023-10-03,"74,6"
2023-10-04,"74,7"
2023-10-05,"74,5"
2023-10-06,"74,4"
2023-10-07,"74,4"
2023-10-08,"74,7"
2023-10-09,"74,3"
2023-10-10,"74,6"
2023-10-11,"74,3"
2023-10-12,"74,3"
2023-10-13,"74,1"
2023-10-14,"74,5"
2023-10-15,"74,2"
2023-10-16,74
2023-10-17,74
2023-10-18,"73,9"
